b1:0.75, b2:0.75, b3:0.75, pr:0.9 - F1:0.4583459455823496
b1:0.75, b2:0.75, b3:0.75, pr:0.92 - F1:0.46757292551685065
b1:0.75, b2:0.75, b3:0.75, pr:0.937 - F1:0.4770622895622895
b1:0.75, b2:0.75, b3:0.75, pr:0.9450000000000001 - F1:0.5009171907756814
b1:0.75, b2:0.75, b3:0.75, pr:0.9470000000000001 - F1:0.510786185642984
b1:0.76, b2:0.94, b3:0.85, pr:0.98 - F1:0.5074698522974385
b1:0.76, b2:0.94, b3:0.85, pr:0.991 - F1:0.5375948389441643
b1:0.77, b2:0.95, b3:0.86, pr:0.0 - F1:0.2320860846172658
b1:0.77, b2:0.95, b3:0.86, pr:0.3325 - F1:0.2839413626520073
b1:0.77, b2:0.95, b3:0.86, pr:0.3653 - F1:0.29444612981876606
b1:0.77, b2:0.95, b3:0.86, pr:0.5343 - F1:0.3009942651599986
b1:0.77, b2:0.95, b3:0.86, pr:0.5535 - F1:0.3074732285258601
b1:0.77, b2:0.95, b3:0.86, pr:0.5562 - F1:0.31388888888888883
b1:0.77, b2:0.95, b3:0.86, pr:0.5661 - F1:0.3197512281070232
b1:0.77, b2:0.95, b3:0.86, pr:0.5790000000000001 - F1:0.33913256554765997
b1:0.77, b2:0.95, b3:0.86, pr:0.5964 - F1:0.34563584563584565
b1:0.77, b2:0.95, b3:0.86, pr:0.615 - F1:0.35210932857991684
b1:0.77, b2:0.95, b3:0.86, pr:0.642 - F1:0.35855985598559864
b1:0.77, b2:0.95, b3:0.86, pr:0.6465000000000001 - F1:0.3649944826415415
b1:0.77, b2:0.95, b3:0.86, pr:0.6518 - F1:0.37142051583799157
b1:0.77, b2:0.95, b3:0.86, pr:0.6938000000000001 - F1:0.37784555869662256
b1:0.77, b2:0.95, b3:0.86, pr:0.6961 - F1:0.38427755819060166
b1:0.77, b2:0.95, b3:0.86, pr:0.7140000000000001 - F1:0.39072485864938694
b1:0.77, b2:0.95, b3:0.86, pr:0.7170000000000001 - F1:0.39096573208722746
b1:0.77, b2:0.95, b3:0.86, pr:0.7473000000000001 - F1:0.3919697808460061
b1:0.77, b2:0.95, b3:0.86, pr:0.7484000000000001 - F1:0.3988536155202822
b1:0.77, b2:0.95, b3:0.86, pr:0.749 - F1:0.4058092773689104
b1:0.77, b2:0.95, b3:0.86, pr:0.76 - F1:0.4128503075871497
b1:0.77, b2:0.95, b3:0.86, pr:0.7682 - F1:0.4199914199914199
b1:0.77, b2:0.95, b3:0.86, pr:0.7776000000000001 - F1:0.4272486772486772
b1:0.77, b2:0.95, b3:0.86, pr:0.7788 - F1:0.42777777777777776
b1:0.77, b2:0.95, b3:0.86, pr:0.7875000000000001 - F1:0.42892156862745096
b1:0.77, b2:0.95, b3:0.86, pr:0.7969 - F1:0.43062982768865116
b1:0.77, b2:0.95, b3:0.86, pr:0.8067000000000001 - F1:0.4387363352420614
b1:0.77, b2:0.95, b3:0.86, pr:0.8106 - F1:0.4412619870798575
b1:0.77, b2:0.95, b3:0.86, pr:0.8172 - F1:0.4443305904880195
b1:0.77, b2:0.95, b3:0.86, pr:0.8343 - F1:0.4533172010485986
b1:0.77, b2:0.95, b3:0.86, pr:0.9082 - F1:0.4686292621395866
b1:0.77, b2:0.95, b3:0.86, pr:0.9174 - F1:0.4886363636363636
b1:0.77, b2:0.95, b3:0.86, pr:0.9402 - F1:0.4969696969696969
b1:0.77, b2:0.95, b3:0.86, pr:0.9441 - F1:0.5020163020163021
b1:0.77, b2:0.95, b3:0.86, pr:0.9596 - F1:0.5124521072796936
b1:0.77, b2:0.95, b3:0.86, pr:0.9899 - F1:0.5375948389441643
b1:0.77, b2:0.95, b3:0.86, pr:0.99 - F1:0.5375948389441643
A:0, B:0, C:0, D:0 - F1:0.4434472934472935
A:0, B:500, C:1000, D:0 - F1:0.447579240682689
A:1500, B:0, C:500, D:0 - F1:0.5313852813852814
